date,layanan,trx_count,trx_value,month,layanan_Air,layanan_E-Wallet,layanan_Lainnya,layanan_Listrik,layanan_Pajak,layanan_TV_Internet,trx_value_scaled
2024-01-01,Air,272,37123844,1,1.0,0.0,0.0,0.0,0.0,0.0,0.13464371148077134
2024-01-02,Air,348,37391867,1,1.0,0.0,0.0,0.0,0.0,0.0,0.13565765217702666
2024-01-03,Air,263,28192601,1,1.0,0.0,0.0,0.0,0.0,0.0,0.10085649640652235
2024-01-04,Air,250,29467735,1,1.0,0.0,0.0,0.0,0.0,0.0,0.1056803744161664
2024-01-05,Air,307,38308714,1,1.0,0.0,0.0,0.0,0.0,0.0,0.13912611751596995
2024-01-06,Air,193,24655011,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0874736655760867
2024-01-07,Air,111,15455833,1,1.0,0.0,0.0,0.0,0.0,0.0,0.05267284271276301
2024-01-08,Air,241,42791302,1,1.0,0.0,0.0,0.0,0.0,0.0,0.15608390993582097
2024-01-09,Air,218,30051726,1,1.0,0.0,0.0,0.0,0.0,0.0,0.10788963347657106
2024-01-10,Air,223,32964887,1,1.0,0.0,0.0,0.0,0.0,0.0,0.1189102268310363
2024-01-11,Air,191,24658445,1,1.0,0.0,0.0,0.0,0.0,0.0,0.08748665652220304
2024-01-12,Air,138,15109091,1,1.0,0.0,0.0,0.0,0.0,0.0,0.051361105194337495
2024-01-13,Air,110,18088768,1,1.0,0.0,0.0,0.0,0.0,0.0,0.06263333098091536
2024-01-14,Air,97,13048263,1,1.0,0.0,0.0,0.0,0.0,0.0,0.043564918385061976
2024-01-15,Air,142,18274557,1,1.0,0.0,0.0,0.0,0.0,0.0,0.06333617748295653
2024-01-16,Air,145,16819805,1,1.0,0.0,0.0,0.0,0.0,0.0,0.057832798087312065
2024-01-17,Air,151,18642983,1,1.0,0.0,0.0,0.0,0.0,0.0,0.06472994635711495
2024-01-18,Air,134,15496969,1,1.0,0.0,0.0,0.0,0.0,0.0,0.05282846168755681
2024-01-19,Air,194,23989969,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0849577876532255
2024-01-20,Air,280,33318166,1,1.0,0.0,0.0,0.0,0.0,0.0,0.12024669405673105
2024-01-21,Air,127,14577516,1,1.0,0.0,0.0,0.0,0.0,0.0,0.049350137756423884
2024-01-22,Air,103,14557439,1,1.0,0.0,0.0,0.0,0.0,0.0,0.04927418573977338
